instance,context,investment decision
cpd2,1,do not invest
cpd7,1,do not invest
cpd11,1,invest
cpd15,1,do not invest
cpd3,1,invest
cpd27,1,do not invest
cpd19,1,invest
cpd21,1,invest
cpd5,1,do not invest
cpd10,1,invest
cpd14,1,do not invest
cpd25,1,do not invest
cpd24,1,invest
cpd17,1,do not invest
cpd8,1,do not invest
cpd23,1,invest
cpd4,1,do not invest
cpd18,1,do not invest
cpd26,1,do not invest
cpd13,1,invest
cpd12,1,invest
cpd9,1,do not invest
cpd1,1,do not invest
cpd16,1,do not invest
cpd22,1,do not invest
cpd20,1,invest
cpd6,1,do not invest
