instance,context,investment decision
cpd20,1,invest
cpd12,1,invest
cpd13,1,do not invest
cpd9,1,do not invest
cpd22,1,do not invest
cpd16,1,do not invest
cpd7,1,do_not_invest
cpd10,1,do not invest
cpd6,1,do not invest
cpd25,1,do not invest
cpd21,1,invest
cpd18,1,do not invest
cpd5,1,do not invest
cpd11,1,invest
cpd23,1,do not invest
cpd15,1,do not invest
cpd3,1,invest
cpd8,1,do not invest
cpd19,1,invest
cpd26,1,do not invest
cpd14,1,do not invest
cpd4,1,do not invest
cpd17,1,do not invest
cpd2,1,do not invest
cpd24,1,invest
cpd27,1,do not invest
cpd1,1,do not invest
